19,17,16,16,16,16,16,16,16,16,16,16,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20,26,26,26,26,26,26,26,26,26,26,26,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,3,12,9,7,7,7,7,11,6,4,3,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,13,7,7,7,7,7,7,9,7,9,4,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,1,5,7,7,7,7,7,7,7,7,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,6,7,7,7,7,7,7,7,7,7,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,10,2,6,7,7,7,7,7,7,8,10,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,3,13,11,6,7,7,7,7,7,4,3,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,24,27,27,27,27,5,1,5,27,27,27,27,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,16,16,16,16,7,7,8,16,16,16,16,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
